1,Hugibert,Helbeck,Ace,06/07/1990,Male,6 Marquette Circle
2,Bourke,Crufts,Wildor,04/11/2003,Male,7 Pierstorff Court
3,Kort,Pothergill,Bartoszewicz,12/29/1988,Male,48183 Magdeline Avenue
4,Meyer,Pabelik,Oswal,01/14/2009,Male,9873 Westerfield Park
5,Nathanil,Botwright,Verryan,12/29/1977,Male,29 Melody Avenue
6,Milka,Wagnerin,Sturzaker,12/24/2008,Female,31523 Village Plaza
7,Riane,Sinnatt,Wyett,08/04/1988,Female,0502 Delaware Road
8,Freddy,Enrdigo,Benson,11/03/1996,Male,80589 Holmberg Pass
9,Jackie,Liversage,Romayn,12/06/2008,Male,65687 Coolidge Park
10,Kylynn,Blasing,Brakespear,05/03/1996,Female,6 Mallard Avenue
11,Geri,Rounds,Utting,05/27/1974,Male,8 Daystar Crossing
12,Vi,Hierro,Parres,12/11/1987,Female,36 Burning Wood Parkway
13,Reinaldos,Ledington,Chaloner,11/02/1996,Male,840 Kinsman Road
14,Sara-ann,Giraudot,Guyonneau,09/04/1975,Female,533 Mitchell Pass
15,Lesya,Wyard,Della,08/24/1984,Female,55655 Ridgeview Street
16,Dione,Gonzalvo,Rockliffe,06/30/1993,Female,372 Dahle Parkway
17,Waverley,Daintrey,MacCague,04/22/1979,Male,24853 Lawn Way
18,Simon,Cavanaugh,O'Kynsillaghe,01/16/2004,Male,226 Debra Pass
19,Adair,Jankovic,Bale,11/02/1979,Male,7349 Nelson Drive
20,Celestina,McCurtin,Unger,02/18/1987,Female,3609 Hansons Street
21,Bren,Braizier,Braghini,01/05/1995,Female,2039 Bellgrove Hill
22,Britteny,Fozzard,Maddaford,09/01/1991,Female,281 Prairieview Parkway
23,Dav,Shere,Klaggeman,06/14/1971,Male,9243 Ramsey Alley
24,Kayne,Undrell,Effnert,01/15/1984,Male,65189 Graedel Parkway
25,Tessi,Long,Ledes,02/28/1983,Female,6675 Nelson Crossing
26,Cathlene,Snap,Busby,12/31/1993,Female,856 Briar Crest Trail
27,Hughie,Earpe,Du Fray,10/20/2014,Male,064 Troy Street
28,Erie,Thorndycraft,Norkutt,07/17/2006,Male,62 Ohio Trail
29,Zacharie,Bakhrushkin,Breston,12/25/1973,Male,54540 Oakridge Circle
30,Byron,Cruft,Wickes,08/29/2009,Male,8944 Onsgard Avenue
31,Augy,Mennell,Ridgway,04/17/1999,Male,0326 Duke Center
32,Bran,Eykel,Radbone,06/01/2005,Male,5 Mcguire Park
33,Staci,Dalston,Dorre,08/28/1987,Female,908 Roxbury Place
34,Rad,Corringham,McCotter,01/27/1978,Male,70 Lukken Street
35,Siobhan,Finn,Nutbrown,06/14/1987,Female,527 Dottie Plaza
36,Dody,Crumb,Peegrem,05/17/2014,Female,7 Clyde Gallagher Trail
37,Tabb,Stather,Meldon,09/15/1988,Male,930 Marcy Avenue
38,Diarmid,Sausman,Woodhall,08/23/2012,Male,3764 Karstens Hill
39,Iris,Du Hamel,Ziemke,03/07/1988,Female,839 Pawling Avenue
40,Ilysa,Niven,Ulster,01/08/1978,Female,4676 Dottie Junction
41,Shelia,Chillingworth,Pye,08/15/1975,Female,92256 Orin Point
42,Ardra,Aasaf,Spencook,07/01/2002,Female,575 Gulseth Alley
